"Import help:"
"Comma-delimited data"
"First column is date: MDY"
"Decimal separator: ."
"Thousand separator: ,"
"","System:","9953149 (1139918) [Glacios]","9953149 (1139918) [Glacios]"
"","Subsystem:","Optics","Main Vacuum"
"","Component:","Magnifications","Column Valves"
"","Parameter:","Nominal Magnification","Column Valves State"
"","Unit:","",""
"","Type:","Float","Int"
"Date:","Time:"
"06/14/2021","21:02:37.830","6720.537",""
"06/14/2021","21:03:21.600","2605.004",""
"06/14/2021","21:03:41.320","6720.537",""
"06/14/2021","21:03:59.693","117715.975",""
"06/14/2021","21:06:43.612","6720.537",""
"06/14/2021","21:07:02.474","117715.975",""
"06/14/2021","21:09:46.299","6720.537",""
"06/14/2021","21:10:05.102","117715.975",""
"06/14/2021","21:12:48.388","6720.537",""
"06/14/2021","21:13:07.442","117715.975",""
"06/14/2021","21:15:51.322","6720.537",""
"06/14/2021","21:16:10.407","117715.975",""
"06/14/2021","21:18:53.913","6720.537",""
"06/14/2021","21:19:12.615","117715.975",""
"06/14/2021","21:21:56.422","6720.537",""
"06/14/2021","21:22:15.156","117715.975",""
"06/14/2021","21:24:59.476","6720.537",""
"06/14/2021","21:25:18.244","117715.975",""
"06/14/2021","21:28:01.963","6720.537",""
"06/14/2021","21:28:21.007","117715.975",""
"06/14/2021","21:31:04.521","6720.537",""
"06/14/2021","21:31:24.043","117715.975",""
"06/14/2021","21:33:47.877","6720.537",""
"06/14/2021","21:34:06.814","117715.975",""
"06/14/2021","21:36:31.404","6720.537",""
"06/14/2021","21:36:51.007","117715.975",""
"06/14/2021","21:39:34.422","6720.537",""
"06/14/2021","21:39:54.049","117715.975",""
"06/14/2021","21:42:43.310","2605.004",""
"06/14/2021","21:43:43.528","6720.537",""
"06/14/2021","21:44:23.972","2605.004",""
"06/14/2021","21:44:43.801","6720.537",""
"06/14/2021","21:45:02.716","117715.975",""
"06/14/2021","21:47:46.365","6720.537",""
